ward_code,num_candidates,num_winners,total_votes,average_ballot_length,percentage_cands_ranked
S13002827,9.0,4.0,7692.0,3.6535,0.4059
S13002826,7.0,4.0,6489.0,3.1424,0.4489
S13002824,8.0,4.0,7363.0,3.5256,0.4407
S13002825,7.0,3.0,5463.0,3.1724,0.4532
S13002821,9.0,4.0,6967.0,3.6376,0.4042
S13002820,7.0,3.0,7245.0,3.0791,0.4399
S13002822,8.0,4.0,7622.0,3.5673,0.4459
S13002823,8.0,4.0,8216.0,3.383,0.4229
S13002828,6.0,3.0,5204.0,2.927,0.4878
S13003028,6.0,4.0,4936.0,2.9998,0.5
S13003029,6.0,3.0,3678.0,3.0223,0.5037
S13003027,5.0,3.0,3996.0,2.7272,0.5454
S13003030,6.0,3.0,4062.0,2.9594,0.4932
S13003024,5.0,3.0,3337.0,2.4849,0.497
S13003025,5.0,3.0,3432.0,2.5201,0.504
S13003031,6.0,4.0,6057.0,2.9979,0.4996
S13002608,6.0,3.0,1385.0,3.3805,0.5634
S13003144,3.0,2.0,661.0,2.2375,0.7458
S13003141,7.0,4.0,1446.0,3.2925,0.4704
S13003140,4.0,2.0,851.0,2.4183,0.6046
S13003142,10.0,4.0,1354.0,3.5074,0.3507
S13003143,8.0,3.0,1306.0,3.4931,0.4366
S13003136,5.0,3.0,1121.0,2.9697,0.5939
S13003137,3.0,2.0,739.0,2.3221,0.774
S13002984,9.0,4.0,7094.0,3.439,0.3821
S13002985,12.0,4.0,7556.0,3.4591,0.2883
S13002978,7.0,3.0,8517.0,3.3567,0.4795
S13002830,8.0,3.0,3826.0,3.2773,0.4097
S13002979,10.0,4.0,8688.0,3.7869,0.3787
S13002986,9.0,3.0,6935.0,3.3306,0.3701
S13002982,11.0,4.0,5771.0,3.4968,0.3179
S13002969,10.0,4.0,8520.0,3.482,0.3482
S13002968,7.0,3.0,7263.0,3.2795,0.4685
S13002983,10.0,4.0,6572.0,3.6284,0.3628
S13002981,7.0,3.0,5730.0,3.4129,0.4876
S13002980,10.0,4.0,7534.0,3.7916,0.3792
S13002972,8.0,4.0,10288.0,3.5736,0.4467
S13002967,9.0,1.0,5132.0,2.688,0.2987
S13002973,9.0,4.0,10749.0,3.9884,0.4432
S13002971,10.0,4.0,6479.0,3.8844,0.3884
S13002970,10.0,4.0,9261.0,3.6522,0.3652
S13002974,10.0,4.0,7255.0,3.8561,0.3856
S13002975,9.0,4.0,5484.0,3.688,0.4098
S13002988,7.0,3.0,5424.0,3.4213,0.4888
S13002977,8.0,3.0,6704.0,3.7117,0.464
S13002976,9.0,4.0,6010.0,4.0273,0.4475
