Round,Exhausted,Cumulative Exhausted,% Exhausted,% Cumulative,key info
1.0,0.0,0.0,0.0,0.0,13.0
2.0,30.084,30.084,0.34,0.34,4.0
3.0,0.1308,30.2148,0.0,0.34,8857.0
4.0,3.52319,33.73799,0.04,0.38,0.0
5.0,0.3924,34.13039,0.0,0.38,0.0
6.0,11.1772,45.30759,0.13,0.51,13002929.0
7.0,15.1962,60.50379,0.17,0.68,
8.0,0.82742,61.33121,0.01,0.69,
9.0,51.67153,113.00274,0.58,1.27,
10.0,69.81377,182.81651,0.79,2.06,
11.0,43.81497,226.63148,0.49,2.55,
12.0,193.46159,420.09307,2.18,4.73,
13.0,770.96065,1191.05372,8.7,13.43,
